"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"-700",24140,1417,841,273,0,20,161,38,84,9641,9641,1024,488,532,2,0,2,9076,6888,63,265,726,250,171,713,2585,781,1037,767,397,128,37,224,8
"1501",2425,138,87,22,0,0,20,3,6,1155,1155,61,34,27,0,0,0,880,620,9,38,106,17,14,76,177,27,92,58,14,4,0,10,0
"1502",995,174,112,23,0,1,22,6,10,462,462,21,19,2,0,0,0,330,251,0,5,40,6,5,23,0,0,0,0,8,8,0,0,0
"1503",1552,74,51,8,0,3,9,1,2,815,815,41,32,9,0,0,0,563,412,3,27,42,3,15,61,29,0,21,8,30,9,0,21,0
"1504",2504,64,43,12,0,0,4,3,2,780,780,143,75,68,0,0,0,1175,904,8,33,112,32,19,67,213,42,102,69,129,7,0,120,2
"1505",940,140,77,27,0,0,23,5,8,461,461,16,13,3,0,0,0,314,244,3,10,11,0,15,31,8,4,4,0,1,1,0,0,0
"1506",1409,92,58,12,0,1,9,1,11,653,653,28,23,4,0,0,1,607,516,6,9,27,13,7,29,26,2,18,6,3,2,0,1,0
"1507",1424,152,84,28,0,1,18,6,15,390,390,73,44,29,0,0,0,657,493,6,23,49,27,19,40,133,53,48,32,19,10,0,9,0
"1508",1610,105,54,31,0,5,9,1,5,845,845,34,26,6,2,0,0,593,459,5,24,41,7,12,45,26,6,17,3,7,7,0,0,0
"1509",1109,222,113,58,0,5,26,6,14,439,439,26,22,4,0,0,0,395,337,1,5,24,3,4,21,6,0,5,1,21,1,0,20,0
"1510",907,118,64,26,0,1,14,5,8,286,286,15,12,2,0,0,1,457,400,1,7,5,0,11,33,16,3,7,6,15,6,0,5,4
"1511",9265,138,98,26,0,3,7,1,3,3355,3355,566,188,378,0,0,0,3105,2252,21,84,269,142,50,287,1951,644,723,584,150,73,37,38,2
"-800",68065,1836,1041,399,2,27,194,93,80,19524,19524,4370,1928,2434,3,2,3,21087,13460,108,524,2217,2840,307,1631,18167,7768,5674,4725,3081,940,1828,306,7
"1630",14706,812,473,169,1,11,79,40,39,5179,5179,854,368,478,3,2,3,6023,4189,38,152,627,348,107,562,1531,483,359,689,307,130,2,169,6
"1631",43003,625,377,131,1,7,64,21,24,11344,11344,2921,1291,1630,0,0,0,11604,6794,39,276,1254,2308,137,796,14291,6230,4760,3301,2218,444,1640,133,1
"1632",10356,399,191,99,0,9,51,32,17,3001,3001,595,269,326,0,0,0,3460,2477,31,96,336,184,63,273,2345,1055,555,735,556,366,186,4,0
"-900",20707,3082,1625,662,13,67,435,195,85,9452,9452,285,83,65,92,1,44,6931,5406,56,224,446,0,294,505,147,0,126,21,810,122,0,637,51
"1701",2478,494,265,121,2,9,51,34,12,1206,1206,48,6,10,25,1,6,683,525,8,25,25,0,40,60,31,0,24,7,16,5,0,11,0
"1702",1774,398,232,72,2,5,45,35,7,1038,1038,36,5,3,25,0,3,239,176,3,12,7,0,25,16,28,0,27,1,35,18,0,17,0
"1703",1838,274,136,53,8,6,47,16,8,1049,1049,43,4,0,25,0,14,325,272,3,4,10,0,24,12,2,0,2,0,145,46,0,90,9
"1704",2748,182,107,42,0,6,20,2,5,1568,1568,11,2,5,0,0,4,894,663,6,43,38,0,28,116,25,0,22,3,68,17,0,45,6
"1705",792,88,49,21,0,2,12,3,1,496,496,6,1,4,0,0,1,165,108,1,15,3,0,12,26,22,0,21,1,15,5,0,10,0
